Path,L1Path,L1Prescale(2e33),Steam L1path,Steam L1Prescale,WBM hltPrescale(2e33),Steam hltPrescale,,Data Rate (Hz),,,Steam Rate (Hz),,,Steam Rate hltPrescaled(Hz),,,Bias(data-steam)
HLT_PFHT600,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175, 1|1|1|1,6,6,3.39,+/-,0.01,18.74,+/-,0.44,3.12,+/-,0.07,7.92%,+/-,2.02%
HLT_Mu55,L1_SingleMu16 OR L1_SingleMu25,1 | 1,L1_SingleMu16 OR L1_SingleMu25, 1|1,1,1,3.34,+/-,0.01,3.19,+/-,0.18,3.19,+/-,0.18,4.59%,+/-,5.17%
HLT_Dimuon8_Upsilon_Barrel,L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0,1 | 60,L1_DoubleMu0_Eta1p6_WdEta18, 1,1,1,3.29,+/-,0.01,3.22,+/-,0.18,3.22,+/-,0.18,2.15%,+/-,5.42%
HLT_PFHT750_4JetPt50,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,1,1,3.05,+/-,0.01,3.01,+/-,0.18,3.01,+/-,0.18,1.26%,+/-,5.70%
HLT_Ele105_CaloIdVT_GsfTrkIdT,L1_SingleEG35 OR L1_SingleEG40,1 | 1,L1_SingleEG35 OR L1_SingleEG40 OR L1_SingleJet200, 1|1|1,1,1,3.04,+/-,0.01,2.68,+/-,0.17,2.68,+/-,0.17,12.05%,+/-,4.80%
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,3.04,+/-,0.01,2.89,+/-,0.17,2.89,+/-,0.17,4.94%,+/-,5.39%
HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF,L1_SingleEG30,1,L1_SingleEG30, 1,1,1,2.99,+/-,0.01,2.76,+/-,0.17,2.76,+/-,0.17,7.82%,+/-,5.20%
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55,L1_SingleEG25 OR L1_SingleEG40,1 | 1,L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10, 1|1|1|1,1,1,2.95,+/-,0.01,2.82,+/-,0.17,2.82,+/-,0.17,4.30%,+/-,5.54%
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,2.87,+/-,0.01,2.62,+/-,0.16,2.62,+/-,0.16,8.71%,+/-,5.22%
HLT_RsqMR240_Rsq0p09_MR200,L1_HTT100 OR L1_HTT75,1 | 1,L1_HTT75 OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60, 1|1|1|1|1|1|1|1|1|1|1|1,1,1,2.85,+/-,0.01,2.91,+/-,0.17,2.91,+/-,0.17,2.18%,+/-,5.82%
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ,L1_DoubleMu_10_3p5,1,L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5, 1|1,1,1,2.84,+/-,0.01,2.69,+/-,0.17,2.69,+/-,0.17,5.52%,+/-,5.53%
HLT_PFJet320,L1_SingleJet128 OR L1_SingleJet200,1 | 1,L1_SingleJet128 OR L1_SingleJet200, 1|1,4,4,2.84,+/-,0.01,10.43,+/-,0.33,2.61,+/-,0.08,8.17%,+/-,2.67%
HLT_PFHT650,L1_HTT175 OR L1_HTT150,1 | 1,L1_HTT150 OR L1_HTT175, 1|1,5,5,2.81,+/-,0.01,12.94,+/-,0.36,2.59,+/-,0.07,7.81%,+/-,2.42%
