Prescale	Path	Group	Primary dataset	Total			HLTPhysics			
1	HLT_Photon135_PFMET100_v2	EXO	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	0.0	±	0	0.0	±	0	
1	HLT_PFMET300_v2	PPD	OnlineMonitor,MET	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_VBF_DisplacedJet40_TightID_DisplacedTrack_v3	EXO	OnlineMonitor,DisplacedJet	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Mu17_v3	SUSY	OnlineMonitor,DoubleMuon	32.8795949234	±	5.55766590865	32.8795949234	±	5.55766590865	
1	HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq240_v2	HIG (Hbb)	OnlineMonitor,BTagCSV	5.63650198687	±	2.30109230033	5.63650198687	±	2.30109230033	
1	HLT_PixelTracks_Multiplicity160ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_HISinglePhoton15_v3	HIN	OnlineMonitor,HINPhoton	0.0	±	0	0.0	±	0	
1	HLT_Photon120_v4	SMP	OnlineMonitor,SinglePhoton	0.0	±	0	0.0	±	0	
1	HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v4	SUSY	OnlineMonitor,DoubleEG	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DoubleMu38NoFiltersNoVtx_v3	EXO,DisplacedSUSY	OnlineMonitor,DoubleMuon	2.81825099343	±	1.6271179697	2.81825099343	±	1.6271179697	
1	HLT_Ele17_CaloIdL_GsfTrkIdVL_v2	null	OnlineMonitor,DoubleEG	41.3343479037	±	6.23138740684	41.3343479037	±	6.23138740684	
1	HLT_AK8DiPFJet280_200_TrimMass30_BTagCSV_p20_v2	B2G	OnlineMonitor,JetHT	14.0912549672	±	3.63834638767	14.0912549672	±	3.63834638767	
1	HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v4	HIG	OnlineMonitor,MuonEG	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_BTagMu_Jet300_Mu5_v3	BTV	OnlineMonitor,BTagMu	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_JetE30_NoBPTX_v3	EXO	OnlineMonitor,NoBPTX	0.0	±	0	0.0	±	0	
1	HLT_QuadPFJet_BTagCSV_p016_p11_VBF_Mqq200_v2	HIG (Hbb)	OnlineMonitor,BTagCSV	12.2124209715	±	3.38711615465	12.2124209715	±	3.38711615465	
1	HLT_Mu300_v2	EXO-Disappearing Tracks	OnlineMonitor,ExpressPhysics,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_CaloMHTNoPU90_PFMET90_PFMHT90_IDTight_v3	HIG (Hbb)	OnlineMonitor,MET	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_DoubleMu28NoFiltersNoVtxDisplaced_v3	EXO,DisplacedSUSY	OnlineMonitor,DoubleMuon	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Ele15_IsoVVVL_BTagCSV_p067_PFHT400_v2	SUSY,electron+hadronic	OnlineMonitor,SingleElectron	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_DiPFJetAve320_v3	JME	OnlineMonitor,JetHT	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_Mu25_TkMu0_dEta18_Onia_v3	BPH	OnlineMonitor,MuOnia	1.87883399562	±	1.32853625903	1.87883399562	±	1.32853625903	
1	HLT_PFJet450_v5	SMP,B2G,BTV	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v4	B2G	OnlineMonitor,JetHT	12.2124209715	±	3.38711615465	12.2124209715	±	3.38711615465	
1	HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v3	EXO-Disappearing Tracks	OnlineMonitor,SingleMuon	0.0	±	0	0.0	±	0	
1	HLT_JetE70_NoBPTX3BX_v2	EXO	OnlineMonitor,NoBPTX	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_L2Mu10_NoVertex_NoBPTX_v3	EXO	OnlineMonitor,NoBPTX	6.57591898468	±	2.4854637536	6.57591898468	±	2.4854637536	
1	HLT_PixelTracks_Multiplicity110ForEndOfFill_v2	FSQ,HIN	OnlineMonitor,HighMultiplicityEOF	0.0	±	0	0.0	±	0	
1	HLT_DiSC30_18_EIso_AND_HE_Mass70_v2	null	OnlineMonitor,Commissioning	0.0	±	0	0.0	±	0	
1	HLT_PFJet320_v5	SMP,BTV	OnlineMonitor,JetHT	0.939416997811	±	0.939416997811	0.939416997811	±	0.939416997811	
1	HLT_Physics_part2_v1	null	HLTPhysics2	148.427885654	±	11.8082885607	148.427885654	±	11.8082885607	
1	HLT_PFHT450_SixJet40_v4	HIG	OnlineMonitor,JetHT	12.2124209715	±	3.38711615465	12.2124209715	±	3.38711615465	
1	HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v3	BPH	OnlineMonitor,DoubleMuonLowMass	15.030671965	±	3.75766799124	15.030671965	±	3.75766799124	
